time_s,power_W
0,0
2.16840434491362e-19,0
2.16840434497452e-19,0.000470620556854645
2.25837972563264e-10,4.03015389084707e-06
2.25837972563266e-10,0.347841736723418
0.00153071386407406,27.3160990818567
0.00306142750231015,54.6321941427171
0.00459214114054623,81.9482892218924
0.0074606154495786,133.137169443949
0.010329089758611,184.326049822742
0.0131975640676433,235.514930418535
0.0160660383766757,286.703811291589
0.0233978179552085,417.541865186162
0.0307295975337413,548.379922292094
0.0380613771122741,679.217983615672
0.0453931566908068,810.056050163185
0.0527249362693396,940.894122940924
0.063883142858568,1140.01608704706
0.0750413494477963,1339.13807146132
0.0861995560370246,1538.26007973082
0.097357762626253,1737.38211540272
0.134747308046738,2404.61166353003
0.172136853467224,3071.84169262405
0.209526398887709,3739.07233614291
0.246915944308195,4406.30372754479
0.338021881218491,6032.12956591128
0.429127818128788,7657.96256790068
0.520233755039084,9283.80466430092
0.611339691949381,10909.6577858999
0.702445628859678,12535.5238634857
0.802445628859678,14320.1295785954
0.902445628859677,16104.755782205
1,17845.7588356584
1.09755437114032,19586.78618809
1.19510874228065,21327.8402099714
1.29266311342097,23068.9232717741
1.39021748456129,24810.0377439696
1.48777185570161,26551.1859970294
1.58777185570161,28336.0213224443
1.68777185570161,30120.8971877564
1.78777185570161,31905.8161462228
1.88777185570161,33690.7807511006
1.98777185570161,35475.793555647
2,35694.0709283916
2.01222814429839,35912.3490647017
2.02445628859677,36130.6279692441
2.03668443289516,36348.9076466877
2.04891257719355,36567.1881017005
2.14891257719355,38352.2839476454
2.24891257719355,40137.434660852
2.34891257719355,41922.6427945783
2.44891257719355,43707.9109020811
2.54891257719355,45493.2415366177
2.64891257719355,47278.6372514447
2.74891257719355,49064.1005998197
2.84891257719355,50849.6341349995
2.94891257719355,52635.2404102415
3,53547.4895352757
3.05108742280645,54459.7586517378
3.10217484561291,55372.0481000629
3.15326226841936,56284.3582206888
3.25326226841936,58070.2015907479
3.35326226841936,59856.1280249557
3.45326226841936,61642.1400765705
3.55326226841936,63428.2402988485
3.65326226841936,65214.4312450458
3.75326226841936,67000.7154684217
3.85326226841936,68787.0955222312
3.95326226841936,70573.5739597327
4,71408.5679133855
4.0001852935257,51090.7446205876
4.0003705870514,51092.324051377
4.0005558805771,51093.9034824976
4.0007411741028,51095.482913774
4.00175872853915,51104.1564916374
4.00277628297551,51112.8300741715
4.00379383741186,51121.5036614077
4.00602819214924,51140.5492149897
4.00826254688662,51159.5947912238
4.010496901624,51178.6403901645
4.01273125636138,51197.6860118058
4.01756382447074,51238.8788608197
4.0223963925801,51280.0718161495
4.02722896068947,51321.2648778804
4.03206152879883,51362.4580460978
4.03689409690819,51403.651320887
4.04379143042501,51462.4450391249
4.05068876394182,51521.2389748733
4.05758609745863,51580.0331283962
4.06448343097544,51638.8274999276
4.07138076449225,51697.6220897156
4.08818448431891,51840.862100345
4.10498820414558,51984.1034114943
4.12179192397224,52127.3460267624
4.1385956437989,52270.5899497366
4.2385956437989,53123.070843794
4.3385956437989,53975.5989341133
4.4385956437989,54828.1749772158
4.5385956437989,55680.7997296208
4.6385956437989,56533.4739478502
4.7385956437989,57386.1983884242
4.83859564379889,58238.9738078638
4.93859564379889,59091.8009626884
5,59615.4999505682
5.00023965812882,83325.7532375237
5.00047931625763,83330.0366807424
5.00071897438645,83334.3201244873
5.00095863251526,83338.6035692332
5.00186280525805,83354.7639862342
5.00276697800083,83370.9244131433
5.00367115074361,83387.0848496733
5.00566243504372,83422.6754544091
5.00765371934383,83458.2661064812
5.00964500364394,83493.8568058391
5.01163628794405,83529.4475525599
